maDiaDiem,tenDiaDiem,moTa,diaChi,maTinhThanh,tenTinhThanh,loaiDiaDiem,viDo,kinhDo,giaVe,gioMoCua,gioDongCua,dienThoai,website,danhGiaTrungBinh,soLuotDanhGia,soLuotXem,maNguoiTao,tenNguoiTao,ngayTao,lanCapNhatCuoi,trangThai,dacDiem,tienNghi
50353,Chùa Hương,"Quần thể văn hóa - tôn giáo lớn, nổi tiếng với chuyến đi thuyền qua suối Yến và lễ hội chùa Hương đầu năm.","Xã Hương Sơn, huyện Mỹ Đức, Hà Nội (cách trung tâm khoảng 60km)",79,Hà Nội,dia_danh,20.672937,105.748366,80000.0,06:00 - 18:00,,,,4.5,0,0,,,2025-11-02 18:33:16,2025-11-02 18:33:16,active,"Du thuyền trên suối Yến, lễ hội đầu năm","Nhà hàng, cáp treo"
50356,Bảo tàng Phụ nữ Việt Nam,"Nơi trưng bày các hiện vật, hình ảnh về vai trò và đóng góp của phụ nữ Việt Nam trong lịch sử và đời sống.","36 Lý Thường Kiệt, Hàng Bài, Hoàn Kiếm, Hà Nội",79,Hà Nội,dia_danh,21.018861,105.854298,40000.0,08:00 - 17:00,,+84 24 3825 9180,http://www.vnwm.org.vn/,4.5,0,0,,,2025-11-02 18:33:16,2025-11-02 18:33:16,active,"Trưng bày theo chủ đề: Gia đình, Phụ nữ trong chiến tranh","Quầy lưu niệm, quán cà phê"
50357,Nhà Hát Lớn Hà Nội,"Công trình kiến trúc tân cổ điển tuyệt đẹp, là trung tâm biểu diễn nghệ thuật lớn của thủ đô.","1 Tràng Tiền, Phan Chu Trinh, Hoàn Kiếm, Hà Nội",79,Hà Nội,dia_danh,21.021021,105.856012,,Thay đổi theo chương trình,,+84 24 3933 0100,http://hanoioperahouse.org.vn/,4.5,0,0,,,2025-11-02 18:33:16,2025-11-02 18:33:16,active,"Kiến trúc Pháp, biểu diễn Opera, múa, hòa nhạc","Quầy bar, phòng chờ"
50359,Đền Quán Thánh,"Một trong Tứ trấn Thăng Long, thờ Huyền Thiên Trấn Vũ, bảo vệ phía Bắc kinh thành.","Đường Thanh Niên, Quán Thánh, Ba Đình, Hà Nội",79,Hà Nội,dia_danh,21.045431,105.836366,10000.0,08:00 - 17:00,,,,4.5,0,0,,,2025-11-02 18:33:16,2025-11-02 18:33:16,active,"Kiến trúc đền cổ, tượng Trấn Vũ bằng đồng",
50364,Phố Sách Đinh Lễ,"Con phố nhỏ nổi tiếng với các nhà sách lớn và nhỏ, là địa điểm lý tưởng cho những người yêu thích đọc sách.","Phố Đinh Lễ, Tràng Tiền, Hoàn Kiếm, Hà Nội",79,Hà Nội,dia_danh,21.026402,105.855322,,08:00 - 21:00,,,,4.5,0,0,,,2025-11-02 18:33:16,2025-11-02 18:33:16,active,"Đa dạng các loại sách, không gian yên tĩnh","Quán cà phê, tiện ích xung quanh"
50366,Cột cờ Hà Nội,"Di tích lịch sử nằm trong khuôn viên Bảo tàng Lịch sử Quân sự Việt Nam, là biểu tượng kiên cường của Thủ đô.","Điện Biên Phủ, Điện Bàn, Ba Đình, Hà Nội",79,Hà Nội,dia_danh,21.033611,105.842778,30000.0,08:00 - 17:00,,+84 24 3734 3291,,4.5,0,0,,,2025-11-02 18:33:16,2025-11-02 18:33:16,active,Kiến trúc độc đáo,
50409,Seaside Da Lat,Thông tin về Seaside Da Lat tại Hanoi. Đây là một địa điểm nổi tiếng với nhiều hoạt động và trải nghiệm thú vị.,"Hanoi, Việt Nam",79,Hà Nội,dia_danh,20.784231173154883,106.29933222821812,,,,,,4.5,0,0,,,2025-11-04 13:34:43,2025-11-04 13:34:43,active,"{""category"": ""cafe"", ""source"": """", ""image_url"": null, ""province"": null}",
50459,Bãi biển Mỹ Khê,Bãi biển đẹp nhất Việt Nam,"Da Nang, Việt Nam",86,Đà Nẵng,dia_danh,16.0567,108.2456,,,,,,4.5,0,0,,,2025-11-04 13:36:16,2025-11-04 13:36:16,active,"{""category"": ""beach"", ""source"": """", ""image_url"": null, ""province"": null}",
50506,Bien Lich,Điểm đến historical site tại Binh Thuan,"Binh Thuan, Việt Nam",113,Lâm Đồng,dia_danh,11.232576987553074,108.2073274404244,,,,,,4.5,0,0,,,2025-11-04 13:36:31,2025-11-04 13:36:31,active,"{""category"": ""historical_site"", ""source"": """", ""image_url"": null, ""province"": null}",
50508,Quan An Ngon,Nhà hàng phở nổi tiếng nhất Hà Nội,"Hanoi, Việt Nam",79,Hà Nội,nha_hang,21.0255,105.8542,,,,,,4.5,0,0,,,2025-11-04 13:38:11,2025-11-04 13:38:11,active,"{""category"": ""traditional_restaurant"", ""source"": """", ""image_url"": null, ""province"": null}",
50511,Hồ Gươm,Hồ nước nổi tiếng ở trung tâm Hà Nội với Tháp Rùa cổ kính,"Hanoi, Việt Nam",79,Hà Nội,dia_danh,21.0285,105.8542,,,,,,4.5,0,0,,,2025-11-04 13:38:12,2025-11-04 13:38:12,active,"{""category"": ""attraction"", ""source"": """", ""image_url"": null, ""province"": null}",
50512,One Pillar Pagoda,Chùa Một Cột với kiến trúc độc đáo,"Hanoi, Việt Nam",79,Hà Nội,dia_danh,21.0356,105.8322,,,,,,4.5,0,0,,,2025-11-04 13:38:13,2025-11-04 13:38:13,active,"{""category"": ""unique_pagoda"", ""source"": """", ""image_url"": null, ""province"": null}",
50514,Pub Sunrise,Địa điểm bar tại Hanoi,"Hanoi, Việt Nam",79,Hà Nội,dia_danh,21.033728179523887,106.17597156961752,,,,,,4.5,0,0,,,2025-11-04 13:38:13,2025-11-04 13:38:13,active,"{""category"": ""bar"", ""source"": """", ""image_url"": null, ""province"": null}",
50516,Oriental Spa,Spa châu Á toàn diện,"Hanoi, Việt Nam",79,Hà Nội,dia_danh,21.0255,105.8542,,,,,,4.5,0,0,,,2025-11-04 13:38:14,2025-11-04 13:38:14,active,"{""category"": ""holistic_spa"", ""source"": """", ""image_url"": null, ""province"": null}",
50574,Port Nghe An,Địa điểm port tại Nghe An,"Nghe An, Việt Nam",115,Nghệ An,dia_danh,19.16520534480633,105.66762958221864,,,,,,4.5,0,0,,,2025-11-04 13:38:32,2025-11-04 13:38:32,active,"{""category"": ""port"", ""source"": """", ""image_url"": null, ""province"": null}",
50594,Beach Ha Tinh,Địa điểm beach tại Ha Tinh,"Ha Tinh, Việt Nam",105,Hà Tĩnh,dia_danh,18.61347168097641,105.89282162886772,,,,,,4.5,0,0,,,2025-11-04 13:38:39,2025-11-04 13:38:39,active,"{""category"": ""beach"", ""source"": """", ""image_url"": null, ""province"": null}",
50603,Bar Mountain,Địa điểm cafe tại Ha Tinh,"Ha Tinh, Việt Nam",105,Hà Tĩnh,dia_danh,18.77405453562064,105.40707905925836,,,,,,4.5,0,0,,,2025-11-04 13:38:42,2025-11-04 13:38:42,active,"{""category"": ""cafe"", ""source"": """", ""image_url"": null, ""province"": null}",
50371,Dinh thự Vua Mèo (Dinh thự Họ Vương),"Dinh thự Vua Mèo, hay còn gọi là Dinh thự Họ Vương, là một công trình kiến trúc cổ độc đáo nằm giữa thung lũng Sà Phìn, huyện Đồng Văn, tỉnh Hà Giang. Đây là nơi ở và làm việc của vua Mèo Vương Chính Đức, người đứng đầu cộng đồng người Mông ở vùng cao nguyên đá Đồng Văn đầu thế kỷ 20. Dinh thự được xây dựng từ năm 1919 đến 1929, với sự kết hợp hài hòa giữa kiến trúc Pháp, kiến trúc Mông và kiến trúc Trung Hoa (nhà Thanh). Vật liệu xây dựng chủ yếu là đá xanh, gỗ quý và ngói âm dương, tạo nên một vẻ đẹp uy nghi, vững chãi nhưng cũng rất tinh tế. Công trình này đã được công nhận là Di tích kiến trúc nghệ thuật cấp Quốc gia, thu hút du khách bởi giá trị lịch sử và kiến trúc độc đáo.","Xã Sà Phìn, huyện Đồng Văn, tỉnh Hà Giang, Việt Nam",80,Hà Giang,dia_danh,22.832852,104.987838,20000.0,07:00,17:00,,,4.4,6000,0,,,2025-11-02 19:15:00,2025-11-02 19:15:00,active,"Kiến trúc độc đáo (Pháp, Mông, Trung Hoa), vật liệu đá xanh, gỗ quý, di tích quốc gia, lịch sử vua Mèo Vương Chính Đức.","Bãi đỗ xe, nhà vệ sinh, quầy bán đồ lưu niệm."
50375,Rừng thông Yên Minh,"Rừng thông Yên Minh là một điểm đến thơ mộng nằm trên cung đường khám phá Hà Giang, được mệnh danh là 'Đà Lạt thu nhỏ' của vùng cao nguyên đá. Với những hàng thông xanh rì, cao vút trải dài bạt ngàn trên các sườn đồi, nơi đây mang đến một không gian trong lành, yên bình và mát mẻ quanh năm. Du khách đến đây có thể tản bộ dưới tán thông, hít thở không khí trong lành, ngắm nhìn khung cảnh hùng vĩ của núi rừng và chụp những bức ảnh tuyệt đẹp. Đây là điểm dừng chân lý tưởng để nghỉ ngơi, thư giãn trước khi tiếp tục hành trình khám phá các địa danh khác của Hà Giang.","Quốc lộ 4C, thị trấn Yên Minh, huyện Yên Minh, tỉnh Hà Giang, Việt Nam",80,Hà Giang,dia_danh,,105.15,,00:00,23:59,,,4.4,5,0,,,2025-11-02 19:16:27,2025-11-04 14:18:47,active,"Rừng thông bạt ngàn, không khí trong lành, cảnh quan thơ mộng, 'Đà Lạt thu nhỏ' của Hà Giang, điểm dừng chân lý tưởng.","Bãi đỗ xe tự phát ven đường, có thể có các quán nước nhỏ của người dân địa phương."
50527,L'Occitane Spa,Spa cao cấp phong cách Pháp,"Hanoi, Việt Nam",79,Hà Nội,dia_danh,21.0255,105.8542,,,,,,4.4,5,0,,,2025-11-04 13:38:18,2025-11-04 14:18:47,active,"{""category"": ""luxury_spa"", ""source"": """", ""image_url"": null, ""province"": null}",
50339,Nhà tù Hỏa Lò,Di tích lịch sử ghi dấu những năm tháng đấu tranh kiên cường của các chiến sĩ cách mạng Việt Nam.,"1 Hỏa Lò, Trần Hưng Đạo, Hoàn Kiếm, Hà Nội",79,Hà Nội,dia_danh,21.023223,105.845459,30000.0,08:00 - 17:00,,+84 24 3934 2253,https://hoalo.vn/,4.4,0,0,,,2025-11-02 18:33:16,2025-11-02 18:33:16,active,"Di tích kiến trúc Pháp, trưng bày hiện vật chiến tranh","Phòng trưng bày, quầy lưu niệm"
50345,Vườn Quốc gia Ba Vì,"Khu du lịch sinh thái nổi tiếng gần Hà Nội, với không khí mát mẻ, trong lành, thích hợp cho trekking, cắm trại và nghỉ dưỡng.","Xã Tản Lĩnh, Ba Vì, Hà Nội (cách trung tâm khoảng 50km)",79,Hà Nội,khach_san,21.056073,105.321798,60000.0,07:30 - 17:00,,+84 24 3388 1205,https://vuonquocgiabavi.com.vn/,4.4,0,0,,,2025-11-02 18:33:16,2025-11-02 18:33:16,active,"Leo núi, nhà thờ đổ, vườn xương rồng, đỉnh Vua","Homestay, cắm trại, nhà hàng"
50350,Thủy cung Vinpearl Aquarium Times City,"Thủy cung hiện đại nằm trong lòng đất, trưng bày hàng ngàn loài sinh vật biển và có khu vực sinh vật nước ngọt, bò sát.","Tầng B1, TTTM Vincom Mega Mall, 458 Minh Khai, Hai Bà Trưng",79,Hà Nội,giai_tri,21.002811,105.862417,170000.0,09:30 - 22:00,,,https://aquarium.vinpearlland.com/,4.4,0,0,,,2025-11-02 18:33:16,2025-11-02 18:33:16,active,"Đường hầm đại dương, show nàng tiên cá","Nhà hàng, khu mua sắm"
50352,Cầu Long Biên,"Cây cầu lịch sử do Pháp xây dựng, là biểu tượng kiến trúc gắn liền với lịch sử kháng chiến và vẻ đẹp cổ kính của Hà Nội.",Giữa các quận Hoàn Kiếm và Long Biên,79,Hà Nội,dia_danh,21.050519,105.864784,,Cả ngày,,,,4.4,0,0,,,2025-11-02 18:33:16,2025-11-02 18:33:16,active,"Kiến trúc thép cổ, ngắm sông Hồng","Quán cà phê, dịch vụ nhỏ"
50358,Bảo tàng Mỹ thuật Việt Nam,"Nơi lưu giữ các tác phẩm nghệ thuật tiêu biểu từ thời tiền sử đến hiện đại, đặc biệt là nghệ thuật dân gian và tranh sơn mài.","66 Nguyễn Thái Học, Điện Biên, Ba Đình, Hà Nội",79,Hà Nội,dia_danh,21.031572,105.839818,40000.0,08:30 - 17:00,,+84 24 3823 3084,http://vnfineartmuseum.org.vn/,4.4,0,0,,,2025-11-02 18:33:16,2025-11-02 18:33:16,active,"Tranh sơn mài, điêu khắc, hội họa","Phòng trưng bày, quầy lưu niệm"
50363,Làng Văn hóa - Du lịch các dân tộc Việt Nam,"Nơi tái hiện kiến trúc và văn hóa của 54 dân tộc, thích hợp cho việc tìm hiểu văn hóa và nghỉ dưỡng.","Đồng Mô, Sơn Tây, Hà Nội (cách trung tâm khoảng 40km)",79,Hà Nội,dia_danh,21.077618,105.353396,30000.0,08:00 - 17:00,,+84 24 3837 3110,http://langvanhoa.gov.vn/,4.4,0,0,,,2025-11-02 18:33:16,2025-11-02 18:33:16,active,"Khu làng dân tộc, Biển Hồ Đồng Mô","Nhà sàn nghỉ dưỡng, nhà hàng"
50365,Khu Bảo tồn Thiên nhiên Sóc Sơn,"Khu rừng nguyên sinh gần Hà Nội, nơi có nhiều đỉnh núi và các đền thờ linh thiêng như Đền Sóc, Chùa Non Nước.","Huyện Sóc Sơn, Hà Nội",79,Hà Nội,dia_danh,21.282914,105.855216,,Cả ngày,,,,4.4,0,0,,,2025-11-02 18:33:16,2025-11-02 18:33:16,active,"Trekking, cắm trại, đền Gióng","Các homestay, dịch vụ ăn uống nhỏ"
50414,Atm Hai Phong,Thông tin về Atm Hai Phong tại Hai Phong. Đây là một địa điểm nổi tiếng với nhiều hoạt động và trải nghiệm thú vị.,"Hai Phong, Việt Nam",87,Hải Phòng,dia_danh,20.987995847179747,106.78174737737687,,,,,,4.4,0,0,,,2025-11-04 13:34:45,2025-11-04 13:34:45,active,"{""category"": ""atm"", ""source"": """", ""image_url"": null, ""province"": null}",
50417,Đảo Cát Bà,Thông tin về Đảo Cát Bà tại Quang Ninh. Đây là một địa điểm nổi tiếng với nhiều hoạt động và trải nghiệm thú vị.,"Quang Ninh, Việt Nam",123,Quảng Ninh,dia_danh,20.7267,107.0456,,,,,,4.4,0,0,,,2025-11-04 13:34:46,2025-11-04 13:34:46,active,"{""category"": ""nature"", ""source"": """", ""image_url"": null, ""province"": null}",
50429,Saigon Nha Hang,Thông tin về Saigon Nha Hang tại Nghe An. Đây là một địa điểm nổi tiếng với nhiều hoạt động và trải nghiệm thú vị.,"Nghe An, Việt Nam",115,Nghệ An,dia_danh,18.66340404581485,105.30871102768252,,,,,,4.4,0,0,,,2025-11-04 13:34:49,2025-11-04 13:34:49,active,"{""category"": ""buffet"", ""source"": """", ""image_url"": null, ""province"": null}",
50433,Nha Hang Hanoi,Thông tin về Nha Hang Hanoi tại Ha Tinh. Đây là một địa điểm nổi tiếng với nhiều hoạt động và trải nghiệm thú vị.,"Ha Tinh, Việt Nam",105,Hà Tĩnh,nha_hang,18.543107481649784,105.435164640761,,,,,,4.4,0,0,,,2025-11-04 13:34:51,2025-11-04 13:34:51,active,"{""category"": ""bbq_restaurant"", ""source"": """", ""image_url"": null, ""province"": null}",
50440,Nha Trang Terrace,Thông tin về Nha Trang Terrace tại Quang Binh. Đây là một địa điểm nổi tiếng với nhiều hoạt động và trải nghiệm thú vị.,"Quang Binh, Việt Nam",105,Hà Tĩnh,dia_danh,17.45369169971501,106.28202490559936,,,,,,4.4,0,0,,,2025-11-04 13:34:53,2025-11-04 13:34:53,active,"{""category"": ""cafe"", ""source"": """", ""image_url"": null, ""province"": null}",
50449,Bao Tang Van,Thông tin về Bao Tang Van tại Thua Thien Hue. Đây là một địa điểm nổi tiếng với nhiều hoạt động và trải nghiệm thú vị.,"Thua Thien Hue, Việt Nam",131,Thừa Thiên Huế,dia_danh,16.103211134219404,108.01131284118873,,,,,,4.4,0,0,,,2025-11-04 13:34:56,2025-11-04 13:34:56,active,"{""category"": ""natural_attraction"", ""source"": """", ""image_url"": null, ""province"": null}",
50458,Atm Da Nang,Địa điểm atm tại Da Nang,"Da Nang, Việt Nam",86,Đà Nẵng,dia_danh,15.64040916630503,108.19028065346616,,,,,,4.4,0,0,,,2025-11-04 13:36:16,2025-11-04 13:36:16,active,"{""category"": ""atm"", ""source"": """", ""image_url"": null, ""province"": null}",
50465,Atm Quang Nam,Địa điểm atm tại Quang Nam,"Quang Nam, Việt Nam",86,Đà Nẵng,dia_danh,15.991299853944504,107.96957747184828,,,,,,4.4,0,0,,,2025-11-04 13:36:18,2025-11-04 13:36:18,active,"{""category"": ""atm"", ""source"": """", ""image_url"": null, ""province"": null}",
50473,Riverside Saigon,Nhà hàng cafe tại Quang Ngai,"Quang Ngai, Việt Nam",94,Bình Định,dia_danh,14.777483692587122,109.13446170805744,,,,,,4.4,0,0,,,2025-11-04 13:36:20,2025-11-04 13:36:20,active,"{""category"": ""cafe"", ""source"": """", ""image_url"": null, ""province"": null}",
50477,Cho Hoa,Điểm đến mountain tại Binh Dinh,"Binh Dinh, Việt Nam",94,Bình Định,dia_danh,13.40946100776284,108.83328708275,,,,,,4.4,0,0,,,2025-11-04 13:36:22,2025-11-04 13:36:22,active,"{""category"": ""mountain"", ""source"": """", ""image_url"": null, ""province"": null}",
50482,Nha Hat Tu Binh Duong,Điểm đến shopping center tại Binh Duong,"Binh Duong, Việt Nam",95,Bình Dương,mua_sam,11.428734511089322,106.3473212384986,,,,,,4.4,0,0,,,2025-11-04 13:36:23,2025-11-04 13:36:23,active,"{""category"": ""shopping_center"", ""source"": """", ""image_url"": null, ""province"": null}",
50515,Cha Ca La Vong,Nhà hàng chả cá lã Vọng lịch sử,"Hanoi, Việt Nam",79,Hà Nội,nha_hang,21.0255,105.8542,,,,,,4.4,0,0,,,2025-11-04 13:38:14,2025-11-04 13:38:14,active,"{""category"": ""specialty_restaurant"", ""source"": """", ""image_url"": null, ""province"": null}",
50517,Spa Luxury,Địa điểm massage tại Hanoi,"Hanoi, Việt Nam",79,Hà Nội,dia_danh,21.11625197943972,105.5885378160672,,,,,,4.4,0,0,,,2025-11-04 13:38:14,2025-11-04 13:38:14,active,"{""category"": ""massage"", ""source"": """", ""image_url"": null, ""province"": null}",
50518,Serene Spa,Spa truyền thống Việt Nam,"Hanoi, Việt Nam",79,Hà Nội,dia_danh,21.0255,105.8542,,,,,,4.4,0,0,,,2025-11-04 13:38:15,2025-11-04 13:38:15,active,"{""category"": ""traditional_spa"", ""source"": """", ""image_url"": null, ""province"": null}",
50521,Phố Cổ Hà Nội,Khu phố cổ với 36 phố phường truyền thống,"Hanoi, Việt Nam",79,Hà Nội,dia_danh,21.0347,105.8328,,,,,,4.4,0,0,,,2025-11-04 13:38:15,2025-11-04 13:38:15,active,"{""category"": ""cultural"", ""source"": """", ""image_url"": null, ""province"": null}",
50528,Vincom Center Ba Trieu,Vincom Center Bà Triệu,"Hanoi, Việt Nam",79,Hà Nội,mua_sam,21.0255,105.8542,,,,,,4.4,0,0,,,2025-11-04 13:38:18,2025-11-04 13:38:18,active,"{""category"": ""shopping_mall"", ""source"": """", ""image_url"": null, ""province"": null}",
50533,Dien Vuon,Điểm đến natural attraction tại Hanoi,"Hanoi, Việt Nam",79,Hà Nội,dia_danh,21.05195955390477,105.67465106231415,,,,,,4.4,0,0,,,2025-11-04 13:38:19,2025-11-04 13:38:19,active,"{""category"": ""natural_attraction"", ""source"": """", ""image_url"": null, ""province"": null}",
50539,Hoi An Terrace,Nhà hàng pub tại Hai Phong,"Hai Phong, Việt Nam",87,Hải Phòng,dia_danh,21.180242732967333,106.78720374496714,,,,,,4.4,0,0,,,2025-11-04 13:38:21,2025-11-04 13:38:21,active,"{""category"": ""pub"", ""source"": """", ""image_url"": null, ""province"": null}",
50576,Pub River,Địa điểm pub tại Nghe An,"Nghe An, Việt Nam",115,Nghệ An,dia_danh,18.33215470504646,105.87000300792552,,,,,,4.4,0,0,,,2025-11-04 13:38:33,2025-11-04 13:38:33,active,"{""category"": ""pub"", ""source"": """", ""image_url"": null, ""province"": null}",
50592,Club Ha Tinh,Địa điểm club tại Ha Tinh,"Ha Tinh, Việt Nam",105,Hà Tĩnh,dia_danh,18.33121876038317,106.12562347653822,,,,,,4.4,0,0,,,2025-11-04 13:38:38,2025-11-04 13:38:38,active,"{""category"": ""club"", ""source"": """", ""image_url"": null, ""province"": null}",
50344,Làng Gốm Bát Tràng,"Làng nghề truyền thống nổi tiếng với các sản phẩm gốm sứ tinh xảo, du khách có thể tự tay làm gốm và mua sắm.","Xã Bát Tràng, Gia Lâm, Hà Nội (cách trung tâm khoảng 13km)",79,Hà Nội,dia_danh,20.975416,105.901584,50000.0,08:00 - 18:00,,,,4.3,0,0,,,2025-11-02 18:33:16,2025-11-02 18:33:16,active,"Làng nghề truyền thống, trải nghiệm thủ công","Chợ gốm, quán ăn"
50346,Chùa Một Cột,"Ngôi chùa có kiến trúc độc đáo, hình dáng như một đóa sen vươn lên từ mặt nước, là biểu tượng Phật giáo của Thủ đô.","Phố Chùa Một Cột, Đội Cấn, Ba Đình, Hà Nội",79,Hà Nội,dia_danh,21.036139,105.834079,,08:00 - 17:00,,,,4.3,0,0,,,2025-11-02 18:33:16,2025-11-02 18:33:16,active,Kiến trúc độc đáo,
50351,Lotte Observation Deck (Lotte Sky 72),"Đài quan sát trên tầng 65 của tòa nhà Lotte Center, là nơi lý tưởng để ngắm toàn cảnh thành phố Hà Nội từ trên cao.","54 Liễu Giai, Cống Vị, Ba Đình, Hà Nội",79,Hà Nội,giai_tri,21.037805,105.815049,230000.0,09:00 - 22:00,,+84 24 3333 6000,https://www.lottecenterhanoi.com/,4.3,0,0,,,2025-11-02 18:33:16,2025-11-02 18:33:16,active,"Kính thiên văn, sàn kính, sky bar","Nhà hàng, khu mua sắm"
