name,city,rating,types,latitude,longitude,description,category,price_level,amenities,room_types,cuisine_type,specialties,food_type,historical_period,special_features,entertainment_type,wellness_type,family_type,created_at
hai phong woody garden hostel,Hai Phong,4.5,"['hotel', 'accommodation']",20.821181800400648,106.6832183,"Phố Trực Cát, Phường An Biên, Hải Phòng, 18000, Vietnam",hotel,0.0,,,,,,,,,,,2025-10-22T02:13:00.808792
Kiara's Home,Hai Phong,4.6,"['hotel', 'accommodation']",20.83456590040096,106.72632359999999,"12, Phố Đằng Hải, Phường Hải An, Hải Phòng, 04813, Vietnam",hotel,0.0,,,,,,,,,,,2025-10-22T02:13:00.808795
Hồng Minh,Hai Phong,4.7,"['hotel', 'accommodation']",20.881152300402004,106.62138009999998,"43, Đường Hùng Vương, Phường Hồng An, Hải Phòng, Vietnam",hotel,0.0,,,,,,,,,,,2025-10-22T02:13:00.808800
Khách Sạn Sinh Viên,Hai Phong,4.8,"['hotel', 'accommodation']",20.834634350400968,106.69086663566812,"Đường Kênh Dương (Quán Nam), Phường Lê Chân, Hải Phòng, 18000, Vietnam",hotel,0.0,,,,,,,,,,,2025-10-22T02:13:00.808803
Khách Sạn Công Đoàn,Hai Phong,4.9,"['hotel', 'accommodation']",20.84728415040125,106.68106700850441,"Phố Dư Hàng, Phường Lê Chân, Hải Phòng, 18000, Vietnam",hotel,0.0,,,,,,,,,,,2025-10-22T02:13:00.808806
Khách Sạn hải Phòng,Hai Phong,4.0,"['hotel', 'accommodation']",20.842124350401136,106.70180927144423,"Ngõ 116, Phường Gia Viên, Hải Phòng, 18000, Vietnam",hotel,0.0,,,,,,,,,,,2025-10-22T02:13:00.808809
Avani Harbour View Hotel,Hai Phong,4.1,"['hotel', 'accommodation']",20.864069250401624,106.68962229991945,"Phố Trần Phú, Phường Ngô Quyền, Hải Phòng, 18000, Vietnam",hotel,0.0,,,,,,,,,,,2025-10-22T02:13:00.808812
Rex Hotel,Hai Phong,4.2,"['hotel', 'accommodation']",20.833811650400946,106.67829230350353,"Đường Lên Cầu, Phường An Biên, Hải Phòng, 18000, Vietnam",hotel,0.0,,,,,,,,,,,2025-10-22T02:13:00.808814
Khách Sạn Hoàng Gia,Hai Phong,4.3,"['hotel', 'accommodation']",20.83391645040095,106.6976457913961,"Phố Lạch Tray, Phường Gia Viên, Hải Phòng, 18000, Vietnam",hotel,0.0,,,,,,,,,,,2025-10-22T02:13:00.808817
Khách sạn Phương Đông,Hai Phong,4.4,"['hotel', 'accommodation']",20.86653030040167,106.70014102390397,"Ngõ 189 Lê Thánh Tông, Phường Ngô Quyền, Hải Phòng, 18000, Vietnam",hotel,0.0,,,,,,,,,,,2025-10-22T02:13:00.808820
Hai Phòng Star Hotel,Hai Phong,4.5,"['hotel', 'accommodation']",20.829928650400852,106.69733145480996,"Phố Thiên Lôi, Phường Gia Viên, Hải Phòng, 18000, Vietnam",hotel,0.0,,,,,,,,,,,2025-10-22T02:13:00.808823
Bình Dương,Hai Phong,4.6,"['hotel', 'accommodation']",20.83443535040096,106.69949660749042,"Phố Vũ Trọng Khánh, Phường Gia Viên, Hải Phòng, 18000, Vietnam",hotel,0.0,,,,,,,,,,,2025-10-22T02:13:00.808827
Hotel Rose massage,Hai Phong,4.7,"['hotel', 'accommodation']",20.833584300400943,106.69584484999999,"ngõ 384 lạch tray, Phường Gia Viên, Hải Phòng, 18000, Vietnam",hotel,0.0,,,,,,,,,,,2025-10-22T02:13:00.808832
Thai Massage,Hai Phong,4.8,"['hotel', 'accommodation']",20.83015555040086,106.69660266560496,"Phố Vũ Trọng Khánh, Phường Gia Viên, Hải Phòng, 18000, Vietnam",hotel,0.0,,,,,,,,,,,2025-10-22T02:13:00.808835
Hotel New 2,Hai Phong,4.9,"['hotel', 'accommodation']",20.833365200400934,106.67725635,"Đường Kênh, Phường An Biên, Hải Phòng, 18000, Vietnam",hotel,0.0,,,,,,,,,,,2025-10-22T02:13:00.808838
Houng Bien Hotel,Ha Long,4.0,"['hotel', 'accommodation']",20.92374930040288,106.9891783,"Đường Ngọc Châu, Tuần Châu, Quảng Ninh Province, Vietnam",hotel,0.0,,,,,,,,,,,2025-10-22T02:13:14.868587
Halong Party Hostel & Hotel,Ha Long,4.1,"['hotel', 'accommodation']",20.957302900403555,107.05013109999999,"21, Vườn Đào - Bãi Cháy, Bãi Cháy, Hạ Long, Quảng Ninh Province 01000, Vietnam",hotel,0.0,,,,,,,,,,,2025-10-22T02:13:14.868596
MINALO Hotel,Ha Long,4.2,"['hotel', 'accommodation']",20.957022600403537,107.0485979,"18, Phố Thanh Niên, Bãi Cháy, Hạ Long, Quảng Ninh Province 01000, Vietnam",hotel,0.0,,,,,,,,,,,2025-10-22T02:13:14.868599
Khách sạn Mường Thanh Luxury Quảng Ninh,Ha Long,4.3,"['hotel', 'accommodation']",20.956381200403527,107.04917804138339,"Hạ Long, Bãi Cháy, Hạ Long, Quảng Ninh Province 01000, Vietnam",hotel,0.0,,,,,,,,,,,2025-10-22T02:13:14.868604
The Yacht,Ha Long,4.4,"['hotel', 'accommodation']",20.950723050403425,107.03297765172414,"Lý Thánh Tông, Bãi Cháy, Hạ Long, Quảng Ninh Province 01000, Vietnam",hotel,0.0,,,,,,,,,,,2025-10-22T02:13:14.868607
Khách sạn Bưu điện Hạ Long,Ha Long,4.5,"['hotel', 'accommodation']",20.95680900040354,107.05022039410817,"Vườn Đào, Bãi Cháy, Hạ Long, Quảng Ninh Province 01000, Vietnam",hotel,0.0,,,,,,,,,,,2025-10-22T02:13:14.868609
Ha Long Palace,Ha Long,4.6,"['hotel', 'accommodation']",20.95549455040351,107.02091941386138,"Phan Bội Châu, Bãi Cháy, Hạ Long, Quảng Ninh Province 01000, Vietnam",hotel,0.0,,,,,,,,,,,2025-10-22T02:13:14.868612
Marina,Ha Long,4.7,"['hotel', 'accommodation']",20.95476660040351,107.02184639478781,"Vĩnh Thực, Bãi Cháy, Hạ Long, Quảng Ninh Province 01000, Vietnam",hotel,0.0,,,,,,,,,,,2025-10-22T02:13:14.868615
Crown Hotel,Ha Long,4.8,"['hotel', 'accommodation']",20.954559950403496,107.0221375965071,"Đường Hoàng Quốc Việt, Bãi Cháy, Hạ Long, Quảng Ninh Province 01000, Vietnam",hotel,0.0,,,,,,,,,,,2025-10-22T02:13:14.868617
Mường Thanh Grand Hạ Long,Ha Long,4.9,"['hotel', 'accommodation']",20.954246850403486,107.02238415659951,"Đường Hoàng Quốc Việt, Bãi Cháy, Hạ Long, Quảng Ninh Province 01000, Vietnam",hotel,0.0,,,,,,,,,,,2025-10-22T02:13:14.868620
Moon Hotel,Ha Long,4.0,"['hotel', 'accommodation']",20.954602450403492,107.02233054999999,"Phố Lê Phụng Hiểu, Bãi Cháy, Hạ Long, Quảng Ninh Province 01000, Vietnam",hotel,0.0,,,,,,,,,,,2025-10-22T02:13:14.868622
Galaxy Ha Long Hotel,Ha Long,4.1,"['hotel', 'accommodation']",20.954744150403492,107.02228255,"Phố Lê Phụng Hiểu, Bãi Cháy, Hạ Long, Quảng Ninh Province 01000, Vietnam",hotel,0.0,,,,,,,,,,,2025-10-22T02:13:14.868625
Au Lac Hotel,Ha Long,4.2,"['hotel', 'accommodation']",20.9548845004035,107.022235,"Phố Lê Phụng Hiểu, Bãi Cháy, Hạ Long, Quảng Ninh Province 01000, Vietnam",hotel,0.0,,,,,,,,,,,2025-10-22T02:13:14.868627
Khách sạn Hương Biển,Ha Long,4.3,"['hotel', 'accommodation']",20.9447395004033,107.12305024831994,"Nguyễn Văn Cừ, Phường Hạ Long, Hạ Long, Quảng Ninh Province 01010, Vietnam",hotel,0.0,,,,,,,,,,,2025-10-22T02:13:14.868631
Novotel Ha Long,Ha Long,4.4,"['hotel', 'accommodation']",20.951970100403443,107.04202279272464,"Lý Quốc Sư, Bãi Cháy, Hạ Long, Quảng Ninh Province 01000, Vietnam",hotel,0.0,,,,,,,,,,,2025-10-22T02:13:14.868634
Khách sạn Sài Gòn Hạ Long,Ha Long,4.5,"['hotel', 'accommodation']",20.951782300403437,107.03962260170454,"Đường Bãi Cháy, Bãi Cháy, Hạ Long, Quảng Ninh Province 01000, Vietnam",hotel,0.0,,,,,,,,,,,2025-10-22T02:13:14.868636
Ha Long Pearl,Ha Long,4.6,"['hotel', 'accommodation']",20.951506400403435,107.04120399999998,"Đường Hạ Long, Bãi Cháy, Hạ Long, Quảng Ninh Province 01000, Vietnam",hotel,0.0,,,,,,,,,,,2025-10-22T02:13:14.868639
BMC Thăng Long Hotel,Ha Long,4.7,"['hotel', 'accommodation']",20.94830480040337,107.0289488,"Đường Hạ Long, Bãi Cháy, Hạ Long, Quảng Ninh Province 01000, Vietnam",hotel,0.0,,,,,,,,,,,2025-10-22T02:13:14.868641
Wyndham Hotel,Ha Long,4.8,"['hotel', 'accommodation']",20.959466300403587,107.06028611450355,"Đường Hạ Long, Bãi Cháy, Hạ Long, Quảng Ninh Province 01000, Vietnam",hotel,0.0,,,,,,,,,,,2025-10-22T02:13:14.868644
Nhang Hi Hotel,Ha Long,4.9,"['hotel', 'accommodation']",20.949635800403392,107.0297089,"Đường Bãi Cháy, Bãi Cháy, Hạ Long, Quảng Ninh Province 01000, Vietnam",hotel,0.0,,,,,,,,,,,2025-10-22T02:13:14.868646
Hai Yen Luxury Hotel,Quang Ninh,4.0,"['hotel', 'accommodation']",21.010230200404532,107.26943067771066,"Cẩm Phả City Square, Cẩm Trung, Cẩm Phả, Quảng Ninh Province 01250, Vietnam",hotel,0.0,,,,,,,,,,,2025-10-22T02:13:27.043333
Viet Trung Hotel,Quang Ninh,4.1,"['hotel', 'accommodation']",21.001597700404382,107.26841279999998,"Phố Phạm Quý Công, Cẩm Trung, Cẩm Phả, Quảng Ninh Province 01250, Vietnam",hotel,0.0,,,,,,,,,,,2025-10-22T02:13:27.043342
Nha nghi Hong Loc/300k room,Quang Ninh,4.2,"['hotel', 'accommodation']",21.079787200405704,107.3458305,"National Route 18, Mông Dương, Quảng Ninh Province, Vietnam",hotel,0.0,,,,,,,,,,,2025-10-22T02:13:27.043345
Khách sạn Vân Long,Quang Ninh,4.3,"['hotel', 'accommodation']",21.00905150040451,107.26056079999998,"Tran Phu Street, Phường Quang Hanh, Cẩm Phả, Quảng Ninh Province 01250, Vietnam",hotel,0.0,,,,,,,,,,,2025-10-22T02:13:27.043347
Mona's Homestay,Cat Ba,4.0,"['hotel', 'accommodation']",20.72580190039832,107.0471172,"180, Phố Cát Bà, Hải Phòng, 180000, Vietnam",hotel,0.0,,,,,,,,,,,2025-10-22T02:13:39.832891
Snow White’s Homestay,Cat Ba,4.1,"['hotel', 'accommodation']",20.73121810039846,107.04983619999999,"number 2 zone 8, Cai Beo Street, Hải Phòng, 187300, Vietnam",hotel,0.0,,,,,,,,,,,2025-10-22T02:13:39.832913
Monkey Island Resort,Cat Ba,4.2,"['hotel', 'accommodation']",20.729303700398408,107.07844899999999,"Cai Beo Street, Hải Phòng, Vietnam",hotel,0.0,,,,,,,,,,,2025-10-22T02:13:39.832916
Cát Bà Eco Lodge,Cat Ba,4.3,"['hotel', 'accommodation']",20.772093100399488,106.98435669999999,"ĐT.356, Hải Phòng, Vietnam",hotel,0.0,,,,,,,,,,,2025-10-22T02:13:39.832919
Cat Ba Central Homestay,Cat Ba,4.4,"['hotel', 'accommodation']",20.731915300398477,107.04933729999999,"7, Cai Beo Street, Hải Phòng, Vietnam",hotel,0.0,,,,,,,,,,,2025-10-22T02:13:39.832922
Cat Ba Mystery Homestay,Cat Ba,4.5,"['hotel', 'accommodation']",20.73484860039854,107.04427899999999,"Số 2 Lane 172, Ha Sen, Hải Phòng, 180000, Vietnam",hotel,0.0,,,,,,,,,,,2025-10-22T02:13:39.832925
Catba Oasis Bungalows Hostel,Cat Ba,4.6,"['hotel', 'accommodation']",20.721063500398195,107.0514007,"254, Phố Cát Bà, Hải Phòng, Vietnam",hotel,0.0,,,,,,,,,,,2025-10-22T02:13:39.832927
Captain Jack's Hostel,Cat Ba,4.7,"['hotel', 'accommodation']",20.73961280039867,107.0415941,"Ha Sen, Hải Phòng, Vietnam",hotel,0.0,,,,,,,,,,,2025-10-22T02:13:39.832930
Cat Ba Hostel,Cat Ba,4.8,"['hotel', 'accommodation']",20.72487910039828,107.0527876,"160, Núi Ngọc, Hải Phòng, Vietnam",hotel,0.0,,,,,,,,,,,2025-10-22T02:13:39.832933
Phong Lan,Cat Ba,4.9,"['hotel', 'accommodation']",20.7251321003983,107.0490692,"214, Phố Cát Bà, Hải Phòng, Vietnam",hotel,0.0,,,,,,,,,,,2025-10-22T02:13:39.832937
Ngoc Hoa Hotel,Cat Ba,4.0,"['hotel', 'accommodation']",20.725229400398298,107.04886589999998,"211, Phố Cát Bà, Hải Phòng, 180000, Vietnam",hotel,0.0,,,,,,,,,,,2025-10-22T02:13:39.832941
Nhật Anh Hotel 2,Cat Ba,4.1,"['hotel', 'accommodation']",20.727889700398375,107.04616639999999,"số 23, Tùng Dinh, Hải Phòng, Vietnam",hotel,0.0,,,,,,,,,,,2025-10-22T02:13:39.832944
Central Backpackers Hostel,Cat Ba,4.2,"['hotel', 'accommodation']",20.740075600398686,107.04194659999999,"Ha Sen, Hải Phòng, Vietnam",hotel,0.0,,,,,,,,,,,2025-10-22T02:13:39.832947
"Catba Love Hotel, add 261 Nui Ngoc tr, Cat Ba",Cat Ba,4.3,"['hotel', 'accommodation']",20.724569700398288,107.0522917,"261, Núi Ngọc, Hải Phòng, 0225, Vietnam",hotel,0.0,,,,,,,,,,,2025-10-22T02:13:39.832951
Trang Anh hôtel,Cat Ba,4.4,"['hotel', 'accommodation']",20.72590730039832,107.0469724,"Phố Cát Bà, Hải Phòng, Vietnam",hotel,0.0,,,,,,,,,,,2025-10-22T02:13:39.832953
Hoi Lake Farmestay,Cat Ba,4.5,"['hotel', 'accommodation']",20.79645200040007,106.9942927,"Go up, Hải Phòng, Vietnam",hotel,0.0,,,,,,,,,,,2025-10-22T02:13:39.832956
Phuong Thao,Cat Ba,4.6,"['hotel', 'accommodation']",20.726018900398326,107.0510347,"48, Núi Ngọc, Hải Phòng, Vietnam",hotel,0.0,,,,,,,,,,,2025-10-22T02:13:39.832958
Luna's House hotel & restaurat,Cat Ba,4.7,"['hotel', 'accommodation']",20.724953800398303,107.0532384,"140, Núi Ngọc, Hải Phòng, Vietnam",hotel,0.0,,,,,,,,,,,2025-10-22T02:13:39.832961
Orange Paradise,Cat Ba,4.8,"['hotel', 'accommodation']",20.777042200399602,106.9846376,"ĐT.356, Hải Phòng, Vietnam",hotel,0.0,,,,,,,,,,,2025-10-22T02:13:39.832963
