maTinhThanh,tenTinhThanh,moTa,anhDaiDien,viDo,kinhDo,created_at,updated_at
7,Cao Bằng,Tỉnh thành Cao Bằng. Thủ phủ: Cao Bằng,,22.6687,106.246,2025-11-02 19:06:03.285493,2025-11-04 15:32:59.092361
22,Cà Mau,Tỉnh thành Cà Mau. Thủ phủ: Cà Mau,,9.1766,105.1526,2025-11-04 14:16:48.064748,2025-11-04 15:32:59.091358
13,Cần Thơ,Tỉnh thành Cần Thơ. Thủ phủ: Ninh Kiều (Cần Thơ),,10.0452,105.7469,2025-11-04 14:16:47.995163,2025-11-04 15:32:59.093355
3,Gia Lai,Tỉnh thành Gia Lai. Thủ phủ: Pleiku,,13.9833,108.0,2025-10-29 22:12:38.411163,2025-11-04 15:32:59.099944
65,Huế,Tỉnh thành Huế,,,,2025-11-24 15:47:37.862629,2025-11-24 15:47:37.862629
6,Hà Giang,Tỉnh thành Hà Giang. Thủ phủ: Hà Giang. (thuộc Tuyên Quang),,22.7769,104.9924,2025-11-02 19:05:58.930915,2025-11-04 15:32:59.139665
28,Hà Nam,Tỉnh thành Hà Nam. Thủ phủ: Phủ Lý. (thuộc Ninh Bình),,20.5381,105.9171,2025-11-04 14:16:48.116637,2025-11-04 15:32:59.140703
5,Hà Nội,Tỉnh thành Hà Nội. Thủ phủ: Hoàn Kiếm (Hà Nội),,21.0285,105.8542,2025-11-02 18:32:44.468329,2025-11-04 15:32:59.100946
29,Hà Tĩnh,Tỉnh thành Hà Tĩnh. Thủ phủ: Hà Tĩnh,,18.3409,105.9055,2025-11-04 14:16:48.123844,2025-11-04 15:32:59.100946
32,Hòa Bình,Tỉnh thành Hòa Bình. Thủ phủ: Hòa Bình. (thuộc Phú Thọ),,20.833,105.3389,2025-11-04 14:16:48.157750,2025-11-04 15:32:59.143698
33,Hưng Yên,Tỉnh thành Hưng Yên. Thủ phủ: Hưng Yên,,20.5153,106.0675,2025-11-04 14:16:48.160288,2025-11-04 15:32:59.102942
66,Hạ Long,Tỉnh thành Hạ Long,,,,2025-11-24 15:47:44.998135,2025-11-24 15:47:44.998135
30,Hải Dương,Tỉnh thành Hải Dương. Thủ phủ: Hải Dương. (thuộc Hải Phòng),,20.9408,106.324,2025-11-04 14:16:48.130777,2025-11-04 15:32:59.141714
12,Hải Phòng,Tỉnh thành Hải Phòng. Thủ phủ: Hồng Bàng (Hải Phòng),,20.8449,106.6881,2025-11-04 14:16:47.993518,2025-11-04 15:32:59.101907
31,Hậu Giang,Tỉnh thành Hậu Giang. Thủ phủ: Vị Thanh. (thuộc Thành phố Cần Thơ),,9.7847,105.4075,2025-11-04 14:16:48.150975,2025-11-04 15:32:59.142699
67,Hội An,Tỉnh thành Hội An,,,,2025-11-24 15:47:51.943610,2025-11-24 15:47:51.943610
34,Khánh Hòa,Tỉnh thành Khánh Hòa. Thủ phủ: Nha Trang,,12.2388,109.1967,2025-11-04 14:16:48.165052,2025-11-04 15:32:59.105253
35,Kiên Giang,Tỉnh thành Kiên Giang. Thủ phủ: Rạch Giá. (thuộc An Giang),,10.0159,105.0795,2025-11-04 14:16:48.165052,2025-11-04 15:32:59.144698
4,Kon Tum,Tỉnh thành Kon Tum. Thủ phủ: Kon Tum. (thuộc Quảng Ngãi),,14.3494,107.9774,2025-10-29 22:12:38.419164,2025-11-04 15:32:59.145704
36,Lai Châu,Tỉnh thành Lai Châu. Thủ phủ: Lai Châu,,22.4032,103.0873,2025-11-04 14:16:48.195181,2025-11-04 15:32:59.106495
2,Long An,Tỉnh thành Long An. Thủ phủ: Tân An. (thuộc Tây Ninh),,10.535,106.3976,2025-10-29 22:12:38.134758,2025-11-04 15:32:59.146254
8,Lào Cai,Tỉnh thành Lào Cai. Thủ phủ: Lào Cai,,22.4833,103.9833,2025-11-02 19:06:07.467969,2025-11-04 15:32:59.110058
37,Lâm Đồng,Tỉnh thành Lâm Đồng. Thủ phủ: Đà Lạt,,11.9404,108.4583,2025-11-04 14:16:48.195181,2025-11-04 15:32:59.107492
10,Lạng Sơn,Tỉnh thành Lạng Sơn. Thủ phủ: Lạng Sơn,,21.856,106.7619,2025-11-02 19:06:17.015391,2025-11-04 15:32:59.109049
68,Mai Châu,Tỉnh thành Mai Châu,,,,2025-11-24 15:47:58.110481,2025-11-24 15:47:58.110481
69,Mũi Né,Tỉnh thành Mũi Né,,,,2025-11-24 15:47:58.760107,2025-11-24 15:47:58.760107
70,Mộc Châu,Tỉnh thành Mộc Châu,,,,2025-11-24 15:47:59.779344,2025-11-24 15:47:59.779344
38,Nam Định,Tỉnh thành Nam Định. Thủ phủ: Nam Định. (thuộc Ninh Bình),,20.4258,106.1766,2025-11-04 14:16:48.204994,2025-11-04 15:32:59.147292
39,Nghệ An,Tỉnh thành Nghệ An. Thủ phủ: Vinh,,18.6714,105.6972,2025-11-04 14:16:48.216057,2025-11-04 15:32:59.111096
71,Nha Trang,Tỉnh thành Nha Trang,,,,2025-11-24 15:48:00.810480,2025-11-24 15:48:00.810480
40,Ninh Bình,Tỉnh thành Ninh Bình. Thủ phủ: Ninh Bình,,20.25,105.9754,2025-11-04 14:16:48.216057,2025-11-04 15:32:59.112094
41,Ninh Thuận,Tỉnh thành Ninh Thuận. Thủ phủ: Phan Rang–Tháp Chàm. (thuộc Khánh Hòa),,11.5695,108.9888,2025-11-04 14:16:48.228724,2025-11-04 15:32:59.148836
72,Phú Quốc,Tỉnh thành Phú Quốc,,,,2025-11-24 15:48:08.021971,2025-11-24 15:48:08.021971
42,Phú Thọ,Tỉnh thành Phú Thọ. Thủ phủ: Việt Trì,,21.307,105.4331,2025-11-04 14:16:48.230728,2025-11-04 15:32:59.113097
43,Phú Yên,Tỉnh thành Phú Yên. Thủ phủ: Tuy Hòa. (thuộc Đắk Lắk),,13.0956,109.3206,2025-11-04 14:16:48.234841,2025-11-04 15:32:59.149846
73,Quy Nhơn,Tỉnh thành Quy Nhơn,,,,2025-11-24 15:48:09.140827,2025-11-24 15:48:09.140827
44,Quảng Bình,Tỉnh thành Quảng Bình. Thủ phủ: Đồng Hới. (thuộc Quảng Trị),,17.4686,106.6335,2025-11-04 14:16:48.243379,2025-11-04 15:32:59.150842
45,Quảng Nam,Tỉnh thành Quảng Nam. Thủ phủ: Tam Kỳ. (thuộc Đà Nẵng),,15.5693,108.479,2025-11-04 14:16:48.249926,2025-11-04 15:32:59.151847
46,Quảng Ngãi,Tỉnh thành Quảng Ngãi. Thủ phủ: Quảng Ngãi,,15.121,108.7976,2025-11-04 14:16:48.254783,2025-11-04 15:32:59.114096
47,Quảng Ninh,Tỉnh thành Quảng Ninh. Thủ phủ: Hạ Long,,20.9601,107.055,2025-11-04 14:16:48.261960,2025-11-04 15:32:59.114096
48,Quảng Trị,Tỉnh thành Quảng Trị. Thủ phủ: Đông Hà,,16.7866,107.0976,2025-11-04 14:16:48.264762,2025-11-04 15:32:59.115094
49,Sóc Trăng,Tỉnh thành Sóc Trăng. Thủ phủ: Sóc Trăng. (thuộc Thành phố Cần Thơ),,9.603,105.9739,2025-11-04 14:16:48.264762,2025-11-04 15:32:59.152847
50,Sơn La,Tỉnh thành Sơn La. Thủ phủ: Sơn La,,21.3253,103.8972,2025-11-04 14:16:48.278968,2025-11-04 15:32:59.116100
74,TP. Hồ Chí Minh,Tỉnh thành TP. Hồ Chí Minh,,,,2025-11-24 15:48:10.836141,2025-11-24 15:48:10.836141
75,Tam Đảo,Tỉnh thành Tam Đảo,,,,2025-11-24 15:48:15.952203,2025-11-24 15:48:15.952203
54,Thanh Hóa,Tỉnh thành Thanh Hóa. Thủ phủ: Thanh Hóa,,19.8077,105.7667,2025-11-04 14:16:48.299011,2025-11-04 15:32:59.119563
62,Thành phố Hồ Chí Minh,Tỉnh thành Thành phố Hồ Chí Minh. Thủ phủ: Quận 1 (TPHCM),,10.7756,106.7019,2025-11-04 15:27:13.734339,2025-11-04 15:32:59.124577
52,Thái Bình,Tỉnh thành Thái Bình. Thủ phủ: Thái Bình. (thuộc Hưng Yên),,20.4475,106.3332,2025-11-04 14:16:48.289497,2025-11-04 15:32:59.153884
53,Thái Nguyên,Tỉnh thành Thái Nguyên. Thủ phủ: Thái Nguyên,,21.5892,105.8482,2025-11-04 14:16:48.296910,2025-11-04 15:32:59.119057
61,Thừa Thiên – Huế,Tỉnh thành Thừa Thiên – Huế. Thủ phủ: Huế,,16.4637,107.5909,2025-11-04 15:27:13.730293,2025-11-04 15:32:59.120570
55,Tiền Giang,Tỉnh thành Tiền Giang. Thủ phủ: Mỹ Tho. (thuộc Đồng Tháp),,10.365,106.3637,2025-11-04 14:16:48.314728,2025-11-04 15:32:59.155852
56,Trà Vinh,Tỉnh thành Trà Vinh. Thủ phủ: Trà Vinh. (thuộc Vĩnh Long),,9.934,106.3458,2025-11-04 14:16:48.314728,2025-11-04 15:32:59.156889
57,Tuyên Quang,Tỉnh thành Tuyên Quang. Thủ phủ: Tuyên Quang,,21.8217,105.2198,2025-11-04 14:16:48.326708,2025-11-04 15:32:59.122581
51,Tây Ninh,Tỉnh thành Tây Ninh. Thủ phủ: Tây Ninh,,11.349,106.13,2025-11-04 14:16:48.283966,2025-11-04 15:32:59.118056
58,Vĩnh Long,Tỉnh thành Vĩnh Long. Thủ phủ: Vĩnh Long,,10.2476,105.9642,2025-11-04 14:16:48.337655,2025-11-04 15:32:59.123578
59,Vĩnh Phúc,Tỉnh thành Vĩnh Phúc. Thủ phủ: Vĩnh Yên. (thuộc Phú Thọ),,21.3075,105.6004,2025-11-04 14:16:48.344968,2025-11-04 15:32:59.157892
64,Vũng Tàu,Thông tin về Vũng Tàu,,,,2025-11-07 10:45:27.323482,2025-11-07 10:45:27.323482
60,Yên Bái,Tỉnh thành Yên Bái. Thủ phủ: Yên Bái. (thuộc Lào Cai),,21.7121,104.8947,2025-11-04 14:16:48.353082,2025-11-04 15:32:59.159407
25,Điện Biên,Tỉnh thành Điện Biên. Thủ phủ: Điện Biên Phủ,,21.3869,103.0211,2025-11-04 14:16:48.085875,2025-11-04 15:32:59.096354
76,Đà Lạt,Tỉnh thành Đà Lạt,,,,2025-11-24 15:48:22.266037,2025-11-24 15:48:22.266037
11,Đà Nẵng,Tỉnh thành Đà Nẵng. Thủ phủ: Hải Châu (Đà Nẵng),,16.0544,108.2022,2025-11-04 14:16:47.988061,2025-11-04 15:32:59.094356
23,Đắk Lắk,Tỉnh thành Đắk Lắk. Thủ phủ: Buôn Ma Thuột,,12.6667,108.05,2025-11-04 14:16:48.078825,2025-11-04 15:32:59.095360
24,Đắk Nông,Tỉnh thành Đắk Nông. Thủ phủ: Gia Nghĩa. (thuộc Lâm Đồng),,12.0115,107.5413,2025-11-04 14:16:48.084828,2025-11-04 15:32:59.137135
26,Đồng Nai,Tỉnh thành Đồng Nai. Thủ phủ: Biên Hòa,,10.9579,106.8384,2025-11-04 14:16:48.097945,2025-11-04 15:32:59.097351
27,Đồng Tháp,Tỉnh thành Đồng Tháp. Thủ phủ: Cao Lãnh,,10.4593,105.6333,2025-11-04 14:16:48.103947,2025-11-04 15:32:59.098899
