maDiaDiem,tenDiaDiem,moTa,diaChi,maTinhThanh,loaiDiaDiem,viDo,kinhDo,giaVe,gioMoCua,gioDongCua,dienThoai,website,danhGiaTrungBinh,soLuotDanhGia,soLuotXem,maNguoiTao,ngayTao,lanCapNhatCuoi,trangThai,dacDiem,tienNghi
19,Nhà nghỉ minh quảng,,"Tổ 5 phường hợp minh, Thành phố Yên Bái, Lào Cai",34,khach_san,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:53:04,2026-05-27 16:53:04,active,"{""category"": ""cslt"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/cslt/?item=15616"", ""email"": """", ""item_id"": ""15616"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
20,Lake View Homestay,,"46B Đống Đa, Diên Hồng, Thành phố Pleiku",18,khach_san,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:53:04,2026-05-27 16:53:04,active,"{""category"": ""cslt"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/cslt/?item=15872"", ""email"": """", ""item_id"": ""15872"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
21,Sake villa,,"Tổ dân phố 2, thị trấn Tam Đảo, Huyện Tam Đảo, Vĩnh Phúc",57,khach_san,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:53:04,2026-05-27 16:53:04,active,"{""category"": ""cslt"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/cslt/?item=8705"", ""email"": """", ""item_id"": ""8705"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
22,khách sạn thuận lợi,,"198 trần phú, phường long châu, thị xã, tân châu, an giang, Thị xã Tân Châu",1,khach_san,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:53:04,2026-05-27 16:53:04,active,"{""category"": ""cslt"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/cslt/?item=8961"", ""email"": """", ""item_id"": ""8961"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
23,Nhà Nghỉ Kinh Bắc,,"KĐTM-Ấp Đồn-Yên Trung- Yên Phong- Bắc Ninh, Yên Trung, Huyện Yên Phong",5,khach_san,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:53:04,2026-05-27 16:53:04,active,"{""category"": ""cslt"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/cslt/?item=9217"", ""email"": """", ""item_id"": ""9217"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
24,Nhà nghỉ 555,,"Tổ 4, Thành phố Điện Biên Phủ, Điện Biên",15,khach_san,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:53:04,2026-05-27 16:53:04,active,"{""category"": ""cslt"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/cslt/?item=9729"", ""email"": """", ""item_id"": ""9729"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
25,NHÀ NGHỈ DƯƠNG VŨ,,"145-TK NHÀ NGHỈ HOÀNG QUỐC VIỆT TTNT MỘC CHÂU-SƠN LA, Thảo Nguyên, Huyện Mộc Châu, Sơn La",48,khach_san,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:53:04,2026-05-27 16:53:04,active,"{""category"": ""cslt"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/cslt/?item=9985"", ""email"": """", ""item_id"": ""9985"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
26,Nhà Nghỉ 76,,"76 nguyễn công trứ, Thành phố Nam Định, Nam Định",36,khach_san,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:53:04,2026-05-27 16:53:04,active,"{""category"": ""cslt"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/cslt/?item=10241"", ""email"": """", ""item_id"": ""10241"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
27,Nhà nghỉ Thanh Lịch,,"Số 18, phố Quang Trung, Kiến Xương, Huyện Kiến Xương, Thái Bình",50,khach_san,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:53:04,2026-05-27 16:53:04,active,"{""category"": ""cslt"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/cslt/?item=11009"", ""email"": """", ""item_id"": ""11009"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
28,Nhà nghỉ Bạch Dương,,"27 Tân Ấp, Quận Ba Đình, Thành phố Hà Nội",21,khach_san,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:53:04,2026-05-27 16:53:04,active,"{""category"": ""cslt"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/cslt/?item=11265"", ""email"": """", ""item_id"": ""11265"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
29,Blue garden homestay,,"Thon Binh Khe, Thành phố Ninh Bình, Ninh Bình",38,khach_san,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:53:04,2026-05-27 16:53:04,active,"{""category"": ""cslt"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/cslt/?item=11521"", ""email"": """", ""item_id"": ""11521"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
30,Khách sạn Sofia,,"Lô I 11 Phạm Văn Đồng, Quận Sơn Trà, Thành phố Đà Nẵng",60,khach_san,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:53:04,2026-05-27 16:53:04,active,"{""category"": ""cslt"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/cslt/?item=11777"", ""email"": """", ""item_id"": ""11777"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
31,Nhà nghỉ ngân nga,,"Số 76, lê lợi, Lạng Giang, Huyện Lạng Giang, Bắc Ninh",5,khach_san,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:53:04,2026-05-27 16:53:04,active,"{""category"": ""cslt"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/cslt/?item=12289"", ""email"": """", ""item_id"": ""12289"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
32,Khách sạn cát tường,,"70 đào duy từ, Quận 10, Thành phố Hồ Chí Minh",61,khach_san,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:53:04,2026-05-27 16:53:04,active,"{""category"": ""cslt"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/cslt/?item=12545"", ""email"": """", ""item_id"": ""12545"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
33,Công ty Cổ phần quản lý khách sạn Hà Lan,,"46A Nguyễn Trường Tộ, Ba Đình, Quận Ba Đình, Thành phố Hà Nội",21,khach_san,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:53:04,2026-05-27 16:53:04,active,"{""category"": ""cslt"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/cslt/?item=12801"", ""email"": """", ""item_id"": ""12801"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
34,Nhà nghỉ Đoàn Quyết,,"09 nguyễn thị định, Thành phố Nha Trang, Khánh Hoà",28,khach_san,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:53:04,2026-05-27 16:53:04,active,"{""category"": ""cslt"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/cslt/?item=13057"", ""email"": """", ""item_id"": ""13057"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
35,Nhà nghỉ Lina,,"ấp Bình Tả 1 - xã Đức Hòa Hạ - huyện Đức Hòa, Huyện Đức Hòa, Tây Ninh",49,khach_san,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:53:04,2026-05-27 16:53:04,active,"{""category"": ""cslt"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/cslt/?item=13313"", ""email"": """", ""item_id"": ""13313"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
36,Nhà nghỉ Nam Phong,,"hẻm 27 tổ 23 TRịnh Phong Đáng, Trường Lộc, Huyện Hòa Thành",22,khach_san,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:53:04,2026-05-27 16:53:04,active,"{""category"": ""cslt"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/cslt/?item=13569"", ""email"": """", ""item_id"": ""13569"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
37,Nhà nghỉ hiền lương,,"Số 198, tổ 95, khu đồn điền, phường Hà khẩu, tp Hạ Long, tỉnh Quảng Ninh, Thành phố Hạ Long, Quảng Ninh",45,khach_san,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:53:04,2026-05-27 16:53:04,active,"{""category"": ""cslt"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/cslt/?item=14081"", ""email"": """", ""item_id"": ""14081"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
38,Khách sạn Hoàng Trung,,"Khu 4 thị trấn Cô Tô, Cô Tô, Huyện Cô Tô, Quảng Ninh",45,khach_san,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:53:04,2026-05-27 16:53:04,active,"{""category"": ""cslt"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/cslt/?item=14337"", ""email"": """", ""item_id"": ""14337"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
39,Khách sạn Ngọc Phượng,,"59 Anh Đào, Bãi Cháy, Hạ Long, Quảng Ninh, Bãi Cháy, Thành phố Hạ Long, Quảng Ninh",45,khach_san,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:53:04,2026-05-27 16:53:04,active,"{""category"": ""cslt"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/cslt/?item=14593"", ""email"": """", ""item_id"": ""14593"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
40,Nhà nghỉ Trung Hiền,,"SN51, tổ 13, Thành phố Cao Bằng, Cao Bằng",12,khach_san,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:53:04,2026-05-27 16:53:04,active,"{""category"": ""cslt"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/cslt/?item=15105"", ""email"": """", ""item_id"": ""15105"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
41,Homestay Lý Tiên,,"thôn Suối Thầu 2, xã Bản Luốc, Huyện Hoàng Su Phì, Hà Giang",19,khach_san,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:53:04,2026-05-27 16:53:04,active,"{""category"": ""cslt"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/cslt/?item=15361"", ""email"": """", ""item_id"": ""15361"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
42,Nhà nghỉ như ý,,"Tổ 8 phường minh tân, Thành phố Yên Bái, Lào Cai",34,khach_san,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:53:04,2026-05-27 16:53:04,active,"{""category"": ""cslt"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/cslt/?item=15617"", ""email"": """", ""item_id"": ""15617"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
43,Lo Lo Eco House,,"Thôn Lô Lô Chải, Lũng Cú, Huyện Đồng Văn, Hà Giang",19,khach_san,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:53:04,2026-05-27 16:53:04,active,"{""category"": ""cslt"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/cslt/?item=15873"", ""email"": """", ""item_id"": ""15873"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
44,Seamark Apartment,,"51/1 Tuệ tĩnh, p. Lộc Thọ, tp. Nha trang, Thành phố Nha Trang, Khánh Hoà",28,khach_san,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:53:04,2026-05-27 16:53:04,active,"{""category"": ""cslt"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/cslt/?item=8706"", ""email"": """", ""item_id"": ""8706"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
45,Thu Hà Hotel,,"Tổ 1 khu 2 phường Thanh Sơn - Uông Bí - Quảng Ninh, Uông Bí, Thành phố Uông Bí, Quảng Ninh",45,khach_san,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:53:04,2026-05-27 16:53:04,active,"{""category"": ""cslt"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/cslt/?item=8962"", ""email"": """", ""item_id"": ""8962"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
46,Di tích lịch sử - văn hóa căn cứ địa cách mạng Hải Chi (Đình Làng Dạ),,"xã Thanh Lâm, Huyện Ba Chẽ, Quảng Ninh",45,dia_danh,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:53:04,2026-05-27 16:53:04,active,"{""category"": ""dest"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/dest/?item=1171"", ""email"": """", ""item_id"": ""1171"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
47,Chợ Trung tâm Ba Chẽ,,"Thị trấn Ba Chẽ, Ba Chẽ, Huyện Ba Chẽ, Quảng Ninh",45,dia_danh,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:53:04,2026-05-27 16:53:04,active,"{""category"": ""dest"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/dest/?item=1170"", ""email"": """", ""item_id"": ""1170"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
48,Di tích lịch sử Miếu Ông – Miếu Bà,,"xã Nam Sơn, Huyện Ba Chẽ, Quảng Ninh",45,dia_danh,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:53:04,2026-05-27 16:53:04,active,"{""category"": ""dest"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/dest/?item=1169"", ""email"": """", ""item_id"": ""1169"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
49,Phố đi bộ Tiên Yên,,"Thị trấn Tiên Yên, Tiên Yên, Huyện Tiên Yên, Quảng Ninh",45,dia_danh,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:53:04,2026-05-27 16:53:04,active,"{""category"": ""dest"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/dest/?item=1168"", ""email"": """", ""item_id"": ""1168"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
50,"Trung tâm Văn hóa, Thể thao các dân tộc vùng Đông Bắc",,"xã Yên Than, huyện Tiên Yên, Huyện Tiên Yên, Quảng Ninh",45,dia_danh,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:53:04,2026-05-27 16:53:04,active,"{""category"": ""dest"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/dest/?item=1167"", ""email"": """", ""item_id"": ""1167"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
51,Đền thờ Đức ông Hoàng Cần (Miếu Đại Vương),,"xã Hải Lạng, Hải Lạng, Huyện Tiên Yên, Quảng Ninh",45,dia_danh,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:53:04,2026-05-27 16:53:04,active,"{""category"": ""dest"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/dest/?item=1166"", ""email"": """", ""item_id"": ""1166"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
52,Chợ Tiên Yên,,"Thị trấn Tiên Yên, Tiên Yên, Huyện Tiên Yên, Quảng Ninh",45,dia_danh,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:53:04,2026-05-27 16:53:04,active,"{""category"": ""dest"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/dest/?item=1165"", ""email"": """", ""item_id"": ""1165"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
53,Thác Pạc Sủi,,"xã Yên Than, huyện Tiên Yên, Huyện Tiên Yên, Quảng Ninh",45,dia_danh,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:53:04,2026-05-27 16:53:04,active,"{""category"": ""dest"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/dest/?item=1164"", ""email"": """", ""item_id"": ""1164"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
54,Cột mốc 1317(2) và cửa khẩu Hoành Mô,,"xã Hoành Mô, Hoành Mô, Huyện Bình Liêu, Quảng Ninh",45,dia_danh,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:53:04,2026-05-27 16:53:04,active,"{""category"": ""dest"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/dest/?item=1163"", ""email"": """", ""item_id"": ""1163"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
55,Chợ Đồng Văn,,"xẫ Đồng Văn, Huyện Bình Liêu, Quảng Ninh",45,dia_danh,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:53:04,2026-05-27 16:53:04,active,"{""category"": ""dest"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/dest/?item=1162"", ""email"": """", ""item_id"": ""1162"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
56,Chợ Trung tâm huyện Bình Liêu,,"thị trấn Bình Liêu, Bình Liêu, Huyện Bình Liêu, Quảng Ninh",45,dia_danh,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:53:04,2026-05-27 16:53:04,active,"{""category"": ""dest"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/dest/?item=1161"", ""email"": """", ""item_id"": ""1161"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
57,Đình Lục Nà,,"xẫ Lục Hồn, Lục Hồn, Huyện Bình Liêu, Quảng Ninh",45,dia_danh,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:53:04,2026-05-27 16:53:04,active,"{""category"": ""dest"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/dest/?item=1160"", ""email"": """", ""item_id"": ""1160"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
58,Thác Sông Moóc,,"xã Đồng Văn,, Huyện Bình Liêu, Quảng Ninh",45,dia_danh,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:53:04,2026-05-27 16:53:04,active,"{""category"": ""dest"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/dest/?item=1159"", ""email"": """", ""item_id"": ""1159"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
59,Thác Khe Tiền,,"xã Đồng Văn,, Huyện Bình Liêu, Quảng Ninh",45,dia_danh,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:53:04,2026-05-27 16:53:04,active,"{""category"": ""dest"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/dest/?item=1158"", ""email"": """", ""item_id"": ""1158"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
60,Thác Khe Vằn,,"xã Húc Động, huyện Bình Liêu., Huyện Bình Liêu, Quảng Ninh",45,dia_danh,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:53:04,2026-05-27 16:53:04,active,"{""category"": ""dest"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/dest/?item=1157"", ""email"": """", ""item_id"": ""1157"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
