name,city,rating,types,latitude,longitude,description,category,price_level,amenities,room_types,cuisine_type,specialties,food_type,historical_period,special_features,entertainment_type,wellness_type,family_type,created_at
Làng gốm Thanh Hà,Hoi An,4.2,"['craft', 'cultural', 'traditional']",15.8856,108.3123,Làng nghề gốm truyền thống của Hội An,craft,2.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Imperial Citadel,Hue,4.5,"['palace', 'cultural', 'historical']",16.4689732,107.578125,Kinh thành Huế - di sản văn hóa thế giới,unesco,2.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Lăng Tự Đức,Hue,4.3,"['tomb', 'cultural', 'historical']",16.4332104,107.5644302,Lăng mộ của vua Tự Đức với kiến trúc đẹp,historical,2.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Chùa Thiên Mụ,Hue,4.4,"['temple', 'cultural', 'religious']",16.4567,107.5908,Ngôi chùa cổ nổi tiếng của Huế,religious,1.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Sông Hương,Hue,4.6,"['river', 'nature', 'romantic']",16.4567,107.5908,Dòng sông thơ mộng chảy qua thành phố Huế,nature,1.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Chợ Đông Ba,Hue,4.1,"['market', 'cultural', 'shopping']",16.4567,107.5908,Chợ truyền thống lớn nhất của Huế,market,2.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Bãi biển Mỹ Khê,Da Nang,4.5,"['beach', 'nature', 'resort']",16.0567,108.2456,Bãi biển đẹp nhất Việt Nam,beach,3.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Cầu Vàng Da Nang,Da Nang,4.7,"['bridge', 'modern', 'viewpoint']",16.0567,108.2456,Cây cầu vàng nổi tiếng trên núi Bà Nà,modern,3.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Núi Bà Nà Hills,Da Nang,4.6,"['mountain', 'resort', 'viewpoint']",16.0567,108.2456,Khu du lịch nghỉ dưỡng trên núi cao,resort,4.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Chùa Linh Ứng,Da Nang,4.3,"['temple', 'cultural', 'religious']",16.0567,108.2456,Ngôi chùa với tượng Phật lớn nhất Việt Nam,religious,1.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Bảo tàng Chăm,Da Nang,4.2,"['museum', 'cultural', 'historical']",16.0567,108.2456,Bảo tàng nghệ thuật Chăm Pa,museum,2.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Vịnh Hạ Long,Quang Ninh,4.9,"['bay', 'nature', 'unesco']",20.9101,107.1839,Vịnh đẹp nhất thế giới với hàng nghìn đảo đá vôi,unesco,3.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Đảo Cát Bà,Quang Ninh,4.4,"['island', 'nature', 'adventure']",20.7267,107.0456,Đảo lớn nhất trong vịnh Hạ Long,nature,3.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Hang Sửng Sốt,Quang Ninh,4.6,"['cave', 'nature', 'adventure']",20.9101,107.1839,Hang động đẹp nhất trong vịnh Hạ Long,nature,2.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Đảo Titop,Quang Ninh,4.3,"['island', 'beach', 'viewpoint']",20.9101,107.1839,Đảo nhỏ với bãi biển và điểm ngắm cảnh,beach,2.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Bãi biển Nha Trang,Nha Trang,4.5,"['beach', 'resort', 'diving']",12.2388,109.1967,Bãi biển đẹp với nhiều hoạt động thể thao,beach,3.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Tháp Bà Ponagar,Nha Trang,4.3,"['temple', 'cultural', 'historical']",12.2388,109.1967,Tháp Chăm cổ với kiến trúc độc đáo,cultural,2.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Đảo Hòn Mun,Nha Trang,4.6,"['island', 'diving', 'nature']",12.2388,109.1967,Đảo với hệ sinh thái biển phong phú,nature,3.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Suối nước nóng Tháp Bà,Nha Trang,4.2,"['hot_spring', 'wellness', 'relaxation']",12.2388,109.1967,Suối nước nóng tự nhiên tốt cho sức khỏe,wellness,2.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Hồ Xuân Hương,Da Lat,4.4,"['lake', 'nature', 'romantic']",11.9404,108.4583,Hồ nước đẹp ở trung tâm Đà Lạt,nature,1.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Thung lũng Tình Yêu,Da Lat,4.5,"['valley', 'nature', 'romantic']",11.9404,108.4583,Thung lũng lãng mạn với hoa và cảnh đẹp,nature,2.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Dinh Bảo Đại,Da Lat,4.2,"['palace', 'cultural', 'historical']",11.9404,108.4583,Cung điện mùa hè của vua Bảo Đại,historical,2.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Chợ Đà Lạt,Da Lat,4.3,"['market', 'cultural', 'shopping']",11.9404,108.4583,Chợ đêm sầm uất với nhiều đặc sản,market,2.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Ga Đà Lạt,Da Lat,4.1,"['station', 'cultural', 'historical']",11.9404,108.4583,Ga xe lửa cổ với kiến trúc Pháp,historical,1.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Bãi biển Phú Quốc,Phu Quoc,4.7,"['beach', 'resort', 'luxury']",10.2899,103.984,Bãi biển đẹp nhất với cát trắng và nước trong,beach,4.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Vinpearl Safari Phú Quốc,Phu Quoc,4.5,"['zoo', 'wildlife', 'family']",10.2899,103.984,Safari park lớn nhất Việt Nam,wildlife,4.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Nhà tù Phú Quốc,Phu Quoc,4.2,"['museum', 'historical', 'memorial']",10.2899,103.984,Nhà tù lịch sử thời chiến tranh,historical,1.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Chợ đêm Phú Quốc,Phu Quoc,4.4,"['market', 'food', 'nightlife']",10.2899,103.984,Chợ đêm với nhiều món ăn hải sản,food,2.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Suối Tranh Phú Quốc,Phu Quoc,4.3,"['waterfall', 'nature', 'adventure']",10.2899,103.984,Suối nước trong xanh với cảnh đẹp,nature,2.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Chùa Sam An Giang,An Giang,4.2,"['temple', 'cultural', 'religious']",10.5216,105.1259,Ngôi chùa Khmer nổi tiếng ở An Giang,religious,1.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Núi Cấm An Giang,An Giang,4.4,"['mountain', 'nature', 'hiking']",10.5216,105.1259,Núi cao nhất miền Tây với cảnh đẹp,nature,2.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Chợ nổi Cái Răng,Can Tho,4.6,"['market', 'cultural', 'unique']",10.0452,105.7469,Chợ nổi trên sông lớn nhất miền Tây,market,2.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Chợ nổi Phong Điền,Can Tho,4.4,"['market', 'cultural', 'traditional']",10.0452,105.7469,Chợ nổi truyền thống của người miền Tây,market,2.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Vườn cò Bằng Lăng,Can Tho,4.3,"['nature', 'wildlife', 'bird_watching']",10.0452,105.7469,Vườn chim với hàng nghìn con cò,wildlife,2.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Chùa Ông Bổn,Can Tho,4.1,"['temple', 'cultural', 'religious']",10.0452,105.7469,Ngôi chùa cổ của người Hoa,religious,1.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Cầu Cần Thơ,Can Tho,4.2,"['bridge', 'modern', 'engineering']",10.0452,105.7469,Cây cầu dây văng dài nhất Đông Nam Á,modern,1.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Bãi biển Mũi Né,Phan Thiet,4.5,"['beach', 'adventure', 'sand_dunes']",10.9378,108.258,Bãi biển với đồi cát đỏ độc đáo,beach,3.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Đồi cát đỏ Mũi Né,Phan Thiet,4.6,"['sand_dunes', 'nature', 'adventure']",10.9378,108.258,Đồi cát đỏ đẹp nhất Việt Nam,nature,2.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Suối Lồ Ô,Phan Thiet,4.3,"['waterfall', 'nature', 'adventure']",10.9378,108.258,Suối nước trong xanh với cảnh đẹp,nature,2.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Làng chài Mũi Né,Phan Thiet,4.2,"['fishing_village', 'cultural', 'traditional']",10.9378,108.258,Làng chài truyền thống của ngư dân,cultural,2.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Tháp Chăm Poshanu,Phan Thiet,4.1,"['temple', 'cultural', 'historical']",10.9378,108.258,Tháp Chăm cổ với kiến trúc độc đáo,cultural,2.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Sofitel Legend Metropole Hanoi,Hanoi,4.8,"['hotel', 'luxury', 'historic']",21.0255,105.8542,Khách sạn 5 sao lịch sử với kiến trúc Pháp cổ điển,luxury_hotel,5.0,"['wifi', 'spa', 'pool', 'restaurant', 'gym', 'concierge']","['deluxe', 'suite', 'presidential']",,,,,,,,,2025-10-07T21:05:56.402977
InterContinental Hanoi Westlake,Hanoi,4.6,"['hotel', 'luxury', 'lakefront']",21.0455,105.8242,Khách sạn 5 sao bên hồ Tây với view đẹp,luxury_hotel,5.0,"['wifi', 'spa', 'pool', 'restaurant', 'gym', 'lake_view']","['deluxe', 'suite', 'lake_villa']",,,,,,,,,2025-10-07T21:05:56.402977
Hanoi Daewoo Hotel,Hanoi,4.4,"['hotel', 'business', 'modern']",21.0255,105.8542,Khách sạn 5 sao hiện đại cho doanh nhân,business_hotel,4.0,"['wifi', 'spa', 'pool', 'restaurant', 'gym', 'business_center']","['deluxe', 'suite', 'executive']",,,,,,,,,2025-10-07T21:05:56.402977
Hotel de l'Opera Hanoi,Hanoi,4.5,"['hotel', 'boutique', 'cultural']",21.0255,105.8542,Khách sạn boutique với phong cách opera,boutique_hotel,4.0,"['wifi', 'spa', 'restaurant', 'cultural_tours']","['deluxe', 'suite', 'opera_suite']",,,,,,,,,2025-10-07T21:05:56.402977
Hanoi La Siesta Hotel,Hanoi,4.3,"['hotel', 'midrange', 'traditional']",21.0255,105.8542,Khách sạn 4 sao với phong cách truyền thống,midrange_hotel,3.0,"['wifi', 'restaurant', 'tour_desk']","['standard', 'deluxe', 'family']",,,,,,,,,2025-10-07T21:05:56.402977
The Reverie Saigon,Ho Chi Minh City,4.9,"['hotel', 'luxury', 'modern']",10.7796,106.6992,Khách sạn 5 sao sang trọng nhất TP.HCM,luxury_hotel,5.0,"['wifi', 'spa', 'pool', 'restaurant', 'gym', 'rooftop_bar']","['deluxe', 'suite', 'penthouse']",,,,,,,,,2025-10-07T21:05:56.402977
Park Hyatt Saigon,Ho Chi Minh City,4.7,"['hotel', 'luxury', 'colonial']",10.7796,106.6992,Khách sạn 5 sao với kiến trúc thuộc địa,luxury_hotel,5.0,"['wifi', 'spa', 'pool', 'restaurant', 'gym', 'colonial_style']","['deluxe', 'suite', 'colonial_suite']",,,,,,,,,2025-10-07T21:05:56.402977
Sheraton Saigon Hotel,Ho Chi Minh City,4.5,"['hotel', 'business', 'modern']",10.7796,106.6992,Khách sạn 5 sao cho doanh nhân,business_hotel,4.0,"['wifi', 'spa', 'pool', 'restaurant', 'gym', 'business_center']","['deluxe', 'suite', 'executive']",,,,,,,,,2025-10-07T21:05:56.402977
Hotel Nikko Saigon,Ho Chi Minh City,4.4,"['hotel', 'business', 'japanese']",10.7796,106.6992,Khách sạn 5 sao phong cách Nhật Bản,business_hotel,4.0,"['wifi', 'spa', 'pool', 'restaurant', 'gym', 'japanese_service']","['deluxe', 'suite', 'executive']",,,,,,,,,2025-10-07T21:05:56.402977
Liberty Central Saigon Citypoint,Ho Chi Minh City,4.2,"['hotel', 'midrange', 'modern']",10.7796,106.6992,Khách sạn 4 sao hiện đại trung tâm,midrange_hotel,3.0,"['wifi', 'restaurant', 'gym', 'city_view']","['standard', 'deluxe', 'family']",,,,,,,,,2025-10-07T21:05:56.402977
Four Seasons Resort The Nam Hai,Hoi An,4.9,"['resort', 'luxury', 'beachfront']",15.8786049,108.3348312,Resort 5 sao bãi biển sang trọng,luxury_resort,5.0,"['wifi', 'spa', 'pool', 'restaurant', 'beach_access', 'villa']","['villa', 'suite', 'beach_villa']",,,,,,,,,2025-10-07T21:05:56.402977
Anantara Hoi An Resort,Hoi An,4.6,"['resort', 'luxury', 'riverside']",15.8786049,108.3348312,Resort 5 sao bên sông Thu Bồn,luxury_resort,4.0,"['wifi', 'spa', 'pool', 'restaurant', 'river_view', 'cultural_tours']","['deluxe', 'suite', 'river_villa']",,,,,,,,,2025-10-07T21:05:56.402977
Hoi An Silk Marina Resort & Spa,Hoi An,4.4,"['resort', 'midrange', 'beachfront']",15.8786049,108.3348312,Resort 4 sao bãi biển với spa,midrange_resort,3.0,"['wifi', 'spa', 'pool', 'restaurant', 'beach_access']","['standard', 'deluxe', 'family']",,,,,,,,,2025-10-07T21:05:56.402977
Hoi An Ancient House Resort,Hoi An,4.3,"['resort', 'boutique', 'traditional']",15.8786049,108.3348312,Resort boutique phong cách cổ điển,boutique_resort,3.0,"['wifi', 'spa', 'restaurant', 'cultural_tours']","['deluxe', 'suite', 'ancient_house']",,,,,,,,,2025-10-07T21:05:56.402977
Palm Garden Beach Resort & Spa,Hoi An,4.2,"['resort', 'midrange', 'beachfront']",15.8786049,108.3348312,Resort 4 sao với vườn cọ,midrange_resort,3.0,"['wifi', 'spa', 'pool', 'restaurant', 'beach_access', 'garden']","['standard', 'deluxe', 'garden_villa']",,,,,,,,,2025-10-07T21:05:56.402977
Azerai La Residence Hue,Hue,4.7,"['hotel', 'luxury', 'historic']",16.4689732,107.578125,Khách sạn 5 sao trong cung điện cổ,luxury_hotel,4.0,"['wifi', 'spa', 'pool', 'restaurant', 'historic_tours']","['deluxe', 'suite', 'imperial_suite']",,,,,,,,,2025-10-07T21:05:56.402977
Pilgrimage Village Boutique Resort,Hue,4.5,"['resort', 'boutique', 'spiritual']",16.4689732,107.578125,Resort boutique với không gian tâm linh,boutique_resort,3.0,"['wifi', 'spa', 'pool', 'restaurant', 'meditation', 'yoga']","['deluxe', 'suite', 'spiritual_villa']",,,,,,,,,2025-10-07T21:05:56.402977
Saigon Morin Hotel,Hue,4.3,"['hotel', 'historic', 'colonial']",16.4689732,107.578125,Khách sạn lịch sử với kiến trúc thuộc địa,historic_hotel,3.0,"['wifi', 'restaurant', 'historic_tours']","['standard', 'deluxe', 'colonial_suite']",,,,,,,,,2025-10-07T21:05:56.402977
Moonlight Hotel Hue,Hue,4.1,"['hotel', 'midrange', 'modern']",16.4689732,107.578125,Khách sạn 4 sao hiện đại,midrange_hotel,2.0,"['wifi', 'restaurant', 'gym']","['standard', 'deluxe', 'family']",,,,,,,,,2025-10-07T21:05:56.402977
InterContinental Danang Sun Peninsula Resort,Da Nang,4.8,"['resort', 'luxury', 'beachfront']",16.0567,108.2456,Resort 5 sao bãi biển sang trọng,luxury_resort,5.0,"['wifi', 'spa', 'pool', 'restaurant', 'beach_access', 'golf']","['villa', 'suite', 'beach_villa']",,,,,,,,,2025-10-07T21:05:56.402977
Fusion Maia Da Nang,Da Nang,4.6,"['resort', 'luxury', 'wellness']",16.0567,108.2456,Resort 5 sao tập trung wellness,luxury_resort,4.0,"['wifi', 'spa', 'pool', 'restaurant', 'wellness_programs']","['deluxe', 'suite', 'wellness_villa']",,,,,,,,,2025-10-07T21:05:56.402977
Hyatt Regency Danang Resort & Spa,Da Nang,4.5,"['resort', 'luxury', 'beachfront']",16.0567,108.2456,Resort 5 sao với spa chuyên nghiệp,luxury_resort,4.0,"['wifi', 'spa', 'pool', 'restaurant', 'beach_access']","['deluxe', 'suite', 'beach_villa']",,,,,,,,,2025-10-07T21:05:56.402977
Pullman Danang Beach Resort,Da Nang,4.3,"['resort', 'midrange', 'beachfront']",16.0567,108.2456,Resort 4 sao bãi biển hiện đại,midrange_resort,3.0,"['wifi', 'spa', 'pool', 'restaurant', 'beach_access']","['standard', 'deluxe', 'family']",,,,,,,,,2025-10-07T21:05:56.402977
Novotel Danang Premier Han River,Da Nang,4.2,"['hotel', 'business', 'riverside']",16.0567,108.2456,Khách sạn 4 sao bên sông Hàn,business_hotel,3.0,"['wifi', 'spa', 'pool', 'restaurant', 'business_center']","['standard', 'deluxe', 'executive']",,,,,,,,,2025-10-07T21:05:56.402977
Vinpearl Resort & Spa Nha Trang,Nha Trang,4.7,"['resort', 'luxury', 'beachfront']",12.2388,109.1967,Resort 5 sao với đảo riêng,luxury_resort,4.0,"['wifi', 'spa', 'pool', 'restaurant', 'private_island']","['villa', 'suite', 'island_villa']",,,,,,,,,2025-10-07T21:05:56.402977
Amanoi Resort,Nha Trang,4.9,"['resort', 'luxury', 'wellness']",12.2388,109.1967,Resort 5 sao wellness cao cấp,luxury_resort,5.0,"['wifi', 'spa', 'pool', 'restaurant', 'wellness_programs', 'private_beach']","['villa', 'suite', 'wellness_villa']",,,,,,,,,2025-10-07T21:05:56.402977
Six Senses Ninh Van Bay,Nha Trang,4.8,"['resort', 'luxury', 'eco']",12.2388,109.1967,Resort 5 sao sinh thái,luxury_resort,5.0,"['wifi', 'spa', 'pool', 'restaurant', 'eco_friendly', 'private_bay']","['villa', 'suite', 'eco_villa']",,,,,,,,,2025-10-07T21:05:56.402977
Sheraton Nha Trang Hotel & Spa,Nha Trang,4.4,"['hotel', 'business', 'beachfront']",12.2388,109.1967,Khách sạn 5 sao bãi biển,business_hotel,4.0,"['wifi', 'spa', 'pool', 'restaurant', 'beach_access']","['deluxe', 'suite', 'beach_suite']",,,,,,,,,2025-10-07T21:05:56.402977
Mia Resort Nha Trang,Nha Trang,4.3,"['resort', 'midrange', 'beachfront']",12.2388,109.1967,Resort 4 sao bãi biển boutique,midrange_resort,3.0,"['wifi', 'spa', 'pool', 'restaurant', 'beach_access']","['standard', 'deluxe', 'beach_villa']",,,,,,,,,2025-10-07T21:05:56.402977
Dalat Palace Heritage Hotel,Da Lat,4.6,"['hotel', 'luxury', 'historic']",11.9404,108.4583,Khách sạn 5 sao lịch sử trên đồi,luxury_hotel,4.0,"['wifi', 'spa', 'restaurant', 'historic_tours', 'mountain_view']","['deluxe', 'suite', 'palace_suite']",,,,,,,,,2025-10-07T21:05:56.402977
Ana Mandara Villas Dalat Resort & Spa,Da Lat,4.5,"['resort', 'luxury', 'villa']",11.9404,108.4583,Resort 5 sao với villa riêng,luxury_resort,4.0,"['wifi', 'spa', 'pool', 'restaurant', 'private_villa']","['villa', 'suite', 'mountain_villa']",,,,,,,,,2025-10-07T21:05:56.402977
Terracotta Hotel & Resort Dalat,Da Lat,4.3,"['resort', 'midrange', 'mountain']",11.9404,108.4583,Resort 4 sao trên núi,midrange_resort,3.0,"['wifi', 'spa', 'pool', 'restaurant', 'mountain_view']","['standard', 'deluxe', 'mountain_villa']",,,,,,,,,2025-10-07T21:05:56.402977
Sofitel Dalat Palace,Da Lat,4.4,"['hotel', 'luxury', 'colonial']",11.9404,108.4583,Khách sạn 5 sao phong cách thuộc địa,luxury_hotel,4.0,"['wifi', 'spa', 'restaurant', 'colonial_style']","['deluxe', 'suite', 'colonial_suite']",,,,,,,,,2025-10-07T21:05:56.402977
TTC Hotel - Ngoc Lan,Da Lat,4.1,"['hotel', 'midrange', 'modern']",11.9404,108.4583,Khách sạn 4 sao hiện đại,midrange_hotel,2.0,"['wifi', 'restaurant', 'gym']","['standard', 'deluxe', 'family']",,,,,,,,,2025-10-07T21:05:56.402977
JW Marriott Phu Quoc Emerald Bay Resort & Spa,Phu Quoc,4.8,"['resort', 'luxury', 'beachfront']",10.2899,103.984,Resort 5 sao bãi biển sang trọng,luxury_resort,5.0,"['wifi', 'spa', 'pool', 'restaurant', 'private_beach', 'golf']","['villa', 'suite', 'beach_villa']",,,,,,,,,2025-10-07T21:05:56.402977
Salinda Resort Phu Quoc Island,Phu Quoc,4.6,"['resort', 'luxury', 'beachfront']",10.2899,103.984,Resort 5 sao với spa chuyên nghiệp,luxury_resort,4.0,"['wifi', 'spa', 'pool', 'restaurant', 'beach_access']","['deluxe', 'suite', 'beach_villa']",,,,,,,,,2025-10-07T21:05:56.402977
La Veranda Resort Phu Quoc,Phu Quoc,4.5,"['resort', 'luxury', 'colonial']",10.2899,103.984,Resort 5 sao phong cách thuộc địa,luxury_resort,4.0,"['wifi', 'spa', 'pool', 'restaurant', 'colonial_style']","['deluxe', 'suite', 'colonial_villa']",,,,,,,,,2025-10-07T21:05:56.402977
Fusion Resort Phu Quoc,Phu Quoc,4.4,"['resort', 'midrange', 'wellness']",10.2899,103.984,Resort 4 sao tập trung wellness,midrange_resort,3.0,"['wifi', 'spa', 'pool', 'restaurant', 'wellness_programs']","['standard', 'deluxe', 'wellness_villa']",,,,,,,,,2025-10-07T21:05:56.402977
Novotel Phu Quoc Resort,Phu Quoc,4.3,"['resort', 'midrange', 'beachfront']",10.2899,103.984,Resort 4 sao bãi biển hiện đại,midrange_resort,3.0,"['wifi', 'spa', 'pool', 'restaurant', 'beach_access']","['standard', 'deluxe', 'family']",,,,,,,,,2025-10-07T21:05:56.402977
Vinpearl Resort & Spa Phu Quoc,Phu Quoc,4.2,"['resort', 'midrange', 'family']",10.2899,103.984,Resort 4 sao cho gia đình,family_resort,3.0,"['wifi', 'spa', 'pool', 'restaurant', 'kids_club', 'family_activities']","['standard', 'deluxe', 'family_villa']",,,,,,,,,2025-10-07T21:05:56.402977
Quan An Ngon,Hanoi,4.5,"['restaurant', 'traditional', 'local']",21.0255,105.8542,Nhà hàng phở nổi tiếng nhất Hà Nội,traditional_restaurant,2.0,,,Vietnamese,"['pho_bo', 'pho_ga', 'bun_cha']",,,,,,,2025-10-07T21:05:56.402977
Cha Ca La Vong,Hanoi,4.4,"['restaurant', 'historic', 'specialty']",21.0255,105.8542,Nhà hàng chả cá lã Vọng lịch sử,specialty_restaurant,3.0,,,Vietnamese,"['cha_ca_la_vong', 'nem_cua_be']",,,,,,,2025-10-07T21:05:56.402977
Bun Cha Huong Lien,Hanoi,4.6,"['restaurant', 'famous', 'local']",21.0255,105.8542,Quán bún chả Obama đã ăn,famous_restaurant,1.0,,,Vietnamese,"['bun_cha', 'nem_ran']",,,,,,,2025-10-07T21:05:56.402977
Com Ga Hai Nam,Hanoi,4.3,"['restaurant', 'chicken', 'local']",21.0255,105.8542,Cơm gà Hải Nam nổi tiếng,chicken_restaurant,2.0,,,Vietnamese,"['com_ga_hai_nam', 'ga_nuong']",,,,,,,2025-10-07T21:05:56.402977
Banh Cuon Ba Hoanh,Hanoi,4.2,"['restaurant', 'breakfast', 'local']",21.0255,105.8542,Bánh cuốn bà Hoành ngon nhất,breakfast_restaurant,1.0,,,Vietnamese,"['banh_cuon', 'banh_xeo']",,,,,,,2025-10-07T21:05:56.402977
Ngon Villa Saigon,Ho Chi Minh City,4.4,"['restaurant', 'traditional', 'upscale']",10.7796,106.6992,Nhà hàng Việt Nam cao cấp,upscale_restaurant,3.0,,,Vietnamese,"['pho', 'bun_bo_hue', 'com_tam']",,,,,,,2025-10-07T21:05:56.402977
Quan Ut Ut,Ho Chi Minh City,4.5,"['restaurant', 'bbq', 'popular']",10.7796,106.6992,Quán BBQ nổi tiếng nhất Sài Gòn,bbq_restaurant,2.0,,,Vietnamese,"['thit_nuong', 'nem_nuong']",,,,,,,2025-10-07T21:05:56.402977
Com Tam Cali,Ho Chi Minh City,4.3,"['restaurant', 'rice', 'local']",10.7796,106.6992,Cơm tấm Cali ngon nhất,rice_restaurant,1.0,,,Vietnamese,"['com_tam', 'suon_nuong']",,,,,,,2025-10-07T21:05:56.402977
Banh Mi Huynh Hoa,Ho Chi Minh City,4.6,"['restaurant', 'sandwich', 'famous']",10.7796,106.6992,Bánh mì Huỳnh Hoa nổi tiếng,sandwich_shop,1.0,,,Vietnamese,"['banh_mi_thit', 'banh_mi_pate']",,,,,,,2025-10-07T21:05:56.402977
Pho Le,Ho Chi Minh City,4.4,"['restaurant', 'pho', 'chain']",10.7796,106.6992,Phở Lê chuỗi nổi tiếng,pho_chain,2.0,,,Vietnamese,"['pho_bo', 'pho_ga']",,,,,,,2025-10-07T21:05:56.402977
Morning Glory Restaurant,Hoi An,4.7,"['restaurant', 'traditional', 'upscale']",15.8786049,108.3348312,Nhà hàng truyền thống cao cấp,upscale_restaurant,3.0,,,Vietnamese,"['cao_lau', 'banh_xeo', 'white_rose']",,,,,,,2025-10-07T21:05:56.402977
